12,21,1


17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,17,17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
17,00,00,00,17,17,17,17,17,00,00,00,17,17,17,17,17,00,00,00,17,
19,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
19,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,
19,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,17,

