13,25,1

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,06,06,06,03,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,01,02,03,00,00,00,00,01,02,01,02,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,04,05,06,00,00,00,00,04,05,04,05,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,07,08,09,00,00,00,00,07,08,08,09,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,10,11,12,00,00,00,00,10,11,11,12,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,13,14,15,00,00,00,00,13,14,14,15,00,00,00,00,00,00,00,00,
13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,
07,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,09,
07,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,09,
