31,27,1

15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,22,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,22,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,
