3,32,1

07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,22,22,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,22,22,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,07,08,
15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,15,16,
